Plot,Year,Latitude,Longitude,spp1,rba1,spp2,rba2,CAR,CAR_sd,CEL,CEL_sd,ADF,ADF_sd,ADL,ADL_sd,LMA,LMA_sd,NIT,NIT_sd,N15,N15_sd,,
DC61,2011,43.041161,-89.417278,CAOV,0.47,QURU,0.24,47.48,0.398,15.98,0.819,36.45,1.617,21.67,1.259,92.09,6.587,3.01,0.124,-1.83,0.510,,
DC62,2011,43.042200,-89.418700,RHCA,0.27,CAOV,0.22,48.11,0.451,14.20,0.666,33.43,1.321,21.59,1.065,84.95,5.772,3.22,0.143,-1.19,0.415,,
DC66,2011,43.084041,-89.437507,ACSM,0.40,QUAL,0.29,48.05,0.271,13.30,0.566,29.18,1.143,16.26,1.426,81.83,8.488,2.84,0.170,-2.72,0.357,,
DC67,2011,43.091613,-89.431266,ACSN,0.54,FRAM,0.14,49.00,0.443,11.32,1.726,25.19,3.741,15.01,2.038,88.50,2.900,2.50,0.117,-1.71,0.592,,
DC70,2011,43.084928,-89.444436,QUAL,0.61,PRSE,0.10,49.39,0.435,15.22,1.049,34.45,1.863,20.26,1.672,104.98,8.618,2.92,0.167,-3.16,0.544,,
DC71,2011,43.046984,-89.424566,ACSM,0.49,QURU,0.32,49.42,0.403,13.48,1.231,31.15,2.270,16.73,1.901,99.77,9.227,2.76,0.191,-2.22,0.706,,
DC72,2011,43.036545,-89.436843,PIRE,0.56,PIST,0.27,50.74,0.516,17.29,1.100,43.26,2.166,25.47,1.497,173.81,7.599,1.69,0.139,-0.32,0.617,,
DC73,2011,43.036457,-89.436068,PIST,0.84,ACRU,0.13,51.35,0.544,15.50,1.882,39.79,3.539,23.93,1.915,156.20,20.688,1.75,0.162,0.13,0.984,,
GR01,2009,39.670753,-78.425428,QUPR,0.36,PIST,0.23,50.14,0.635,16.75,1.038,39.29,1.644,23.76,0.836,108.68,14.453,2.06,0.129,-2.34,0.730,,
GR02,2009,39.673140,-78.423018,QUPR,0.29,QUAL,0.13,50.03,0.623,15.13,0.942,34.77,1.499,20.72,0.900,89.55,11.391,2.26,0.129,-3.15,0.394,,
GR03,2009,39.669978,-78.411885,QUAL,0.40,NYSY,0.30,49.31,0.580,14.48,0.834,29.86,1.678,17.38,1.169,75.06,10.320,2.58,0.147,-4.16,0.417,,
GR04,2009,39.674757,-78.404333,QUAL,0.39,ACRU,0.23,49.89,0.515,15.27,0.748,32.55,1.554,18.46,1.134,74.38,9.639,2.47,0.135,-3.86,0.341,,
GR05,2009,39.676828,-78.525245,ACSM,0.36,QUAL,0.26,50.02,0.358,14.89,0.575,32.72,1.343,18.38,1.037,77.15,7.523,2.50,0.138,-3.96,0.515,,
GR06,2009,39.671723,-78.519739,ACSM,0.41,QUPR,0.31,49.94,0.616,15.26,1.020,34.72,1.512,19.86,0.926,80.12,12.934,2.28,0.173,-4.32,0.977,,
GR07,2009,39.688260,-78.484306,PIST,0.49,CAGL,0.20,50.93,0.434,16.83,1.391,42.09,2.571,25.97,1.534,135.26,23.500,1.71,0.087,-1.92,0.833,,
GR08,2008,39.694964,-78.466111,PIST,0.81,ACRU,0.06,50.33,0.129,18.05,0.679,45.94,1.197,27.93,0.911,160.04,2.673,1.64,0.039,-1.44,0.958,,
